order_id,year_of_order,customer_id,customer_age,customer_gender,state,product_category,sub_category,cost_of_product,delivery_fee,revenue,opex
49186,2016,29365,41,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49192,2016,17808,41,M,California,"Food and beverage","Bread and cakes",65.00,0.06,3.90,1.00
49194,2016,26366,40,F,California,"Food and beverage","Bread and cakes",69.00,0.06,4.14,1.00
49206,2016,27319,32,M,Washington,Clothing,Pants,141.00,0.07,9.87,1.00
49238,2016,28158,37,F,Nevada,"Food and beverage","Bread and cakes",70.00,0.06,4.20,1.00
49274,2016,19184,41,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49281,2016,20299,65,M,California,Clothing,Socks,51.00,0.07,3.57,1.00
49283,2016,12892,44,M,California,"Food and beverage",Seafood,96.00,0.06,5.76,1.00
49291,2016,29619,40,F,Washington,"Household appliances",TV,2097.00,0.12,251.64,15.00
49315,2016,16548,42,F,Washington,"Food and beverage","Bread and cakes",76.00,0.06,4.56,1.00
49322,2016,23294,52,F,Oregon,"Food and beverage","Fruits and vegetables",100.00,0.06,6.00,1.00
49331,2016,24923,43,M,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
49338,2016,19739,42,F,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49358,2016,15265,64,F,California,"Food and beverage",Seafood,152.00,0.06,9.12,1.00
49370,2016,21798,45,F,California,Clothing,Caps,55.00,0.07,3.85,1.00
49371,2016,25644,30,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49377,2016,21959,69,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49395,2016,13681,44,F,California,"Household appliances",Toaster,206.00,0.08,16.48,5.00
49411,2016,13508,26,M,Oregon,Clothing,Shorts,66.00,0.07,4.62,1.00
49418,2016,11307,34,M,California,Clothing,Caps,55.00,0.07,3.85,1.00
49425,2016,24009,41,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49429,2016,23369,65,F,Washington,Clothing,Vests,70.00,0.07,4.90,1.00
49435,2016,26530,32,M,Arizona,"Food and beverage","Bread and cakes",57.00,0.06,3.42,1.00
49461,2016,21409,49,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49466,2016,28237,31,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49472,2016,29173,32,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49503,2016,13694,42,M,Nevada,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
49515,2016,19831,34,M,Arizona,"Food and beverage","Fruits and vegetables",70.00,0.06,4.20,1.00
49524,2016,12036,38,F,Oregon,Clothing,Shorts,77.00,0.07,5.39,1.00
49551,2016,20427,44,M,Oregon,"Food and beverage","Bread and cakes",57.00,0.06,3.42,1.00
49558,2016,13162,40,F,Washington,"Food and beverage",Seafood,118.00,0.06,7.08,1.00
49563,2016,21456,59,M,California,"Household appliances",Toaster,321.00,0.08,25.68,5.00
49564,2016,18583,20,F,California,"Food and beverage","Fruits and vegetables",100.00,0.06,6.00,1.00
49566,2016,21925,46,M,California,"Food and beverage","Fruits and vegetables",95.00,0.06,5.70,1.00
49569,2016,16099,54,M,California,"Food and beverage","Fruits and vegetables",96.00,0.06,5.76,1.00
49571,2016,24851,34,F,Washington,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
49582,2016,22196,39,M,Arizona,Clothing,Shorts,97.00,0.07,6.79,1.00
49592,2016,17639,37,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49595,2016,20643,19,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49603,2016,21119,26,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49615,2016,22506,45,M,Oregon,"Food and beverage","Bread and cakes",69.00,0.06,4.14,1.00
49617,2016,19984,30,M,Washington,"Food and beverage","Bread and cakes",69.00,0.06,4.14,1.00
49625,2016,23057,48,F,California,"Food and beverage","Fruits and vegetables",50.00,0.06,3.00,1.00
49626,2016,26979,32,M,Washington,"Food and beverage","Fruits and vegetables",96.00,0.06,5.76,1.00
49636,2016,21748,43,M,California,Clothing,Pants,96.00,0.07,6.72,1.00
49639,2016,26211,27,M,Washington,Clothing,Shorts,57.00,0.07,3.99,1.00
49641,2016,16269,17,M,Oregon,Clothing,Caps,55.00,0.07,3.85,1.00
49652,2016,21815,32,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49656,2016,14042,43,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49671,2016,27518,36,F,Oregon,"Food and beverage","Bread and cakes",105.00,0.06,6.30,1.00
49675,2016,28381,35,F,Oregon,Clothing,Socks,55.00,0.07,3.85,1.00
49678,2016,17136,29,F,Washington,"Food and beverage",Seafood,51.00,0.06,3.06,1.00
49700,2016,19244,36,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49708,2016,27852,37,F,California,"Food and beverage","Bread and cakes",95.00,0.06,5.70,1.00
49730,2016,27830,23,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49738,2016,18530,20,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49740,2016,28722,62,F,Arizona,"Food and beverage","Bread and cakes",98.00,0.06,5.88,1.00
49751,2016,18873,18,F,Washington,"Food and beverage",Seafood,123.00,0.06,7.38,1.00
49757,2016,27527,34,M,Washington,"Food and beverage","Fruits and vegetables",67.00,0.06,4.02,1.00
49760,2016,27291,39,M,Washington,Clothing,Pants,137.00,0.07,9.59,1.00
49768,2016,16319,47,F,Washington,Clothing,Shorts,77.00,0.07,5.39,1.00
49770,2016,12005,38,M,Washington,Clothing,Shorts,67.00,0.07,4.69,1.00
49772,2016,24485,42,F,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
49774,2016,14271,47,F,California,"Household appliances",Oven,417.00,0.09,37.53,5.00
49783,2016,17243,27,F,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49801,2016,13140,56,F,Washington,"Food and beverage","Bread and cakes",68.00,0.06,4.08,1.00
49822,2016,12941,28,M,California,Clothing,Pants,158.00,0.07,11.06,1.00
49832,2016,27480,42,F,Nevada,"Household appliances",Oven,385.00,0.09,34.65,5.00
49840,2016,22993,42,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49844,2016,17477,35,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49855,2016,25823,33,M,Washington,"Food and beverage","Bread and cakes",106.00,0.06,6.36,1.00
49865,2016,28309,44,M,Washington,"Food and beverage",Seafood,98.00,0.06,5.88,1.00
49869,2016,22468,20,F,Washington,"Food and beverage","Fruits and vegetables",66.00,0.06,3.96,1.00
49870,2016,29185,20,F,California,"Food and beverage",Seafood,138.00,0.06,8.28,1.00
49884,2016,26775,40,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49901,2016,29672,51,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49904,2016,11344,29,F,Arizona,Clothing,Vests,106.00,0.07,7.42,1.00
49912,2016,21214,53,F,Nevada,"Food and beverage","Bread and cakes",62.00,0.06,3.72,1.00
